Scheme,Beta,Hour,DA_Offer_MW
Two-price,5.0,16,53.806820524803776
Two-price,5.0,17,111.05001993099751
Two-price,5.0,18,45.13168203873485
Two-price,5.0,19,71.88732800923697
Two-price,5.0,20,73.67768140644115
Two-price,5.0,21,57.02670753666616
Two-price,5.0,22,85.16377781748704
Two-price,5.0,23,282.3019614850655
Two-price,5.0,24,78.07452818517959
Two-price,10.0,1,73.0728787233165
Two-price,10.0,2,486.2407389589146
Two-price,10.0,3,268.54441863342083
Two-price,10.0,4,61.91495649544336
Two-price,10.0,5,49.899657736663414
Two-price,10.0,6,-0.0
Two-price,10.0,7,16.93962969581174
Two-price,10.0,8,-0.0
Two-price,10.0,9,24.762546219295952
Two-price,10.0,10,33.57685805006116
Two-price,10.0,11,129.22330964522823
Two-price,10.0,12,311.47338180918473
Two-price,10.0,13,138.60977855974488
Two-price,10.0,14,175.61098816511114
Two-price,10.0,15,80.62775769405232
Two-price,10.0,16,36.67990817995629
Two-price,10.0,17,111.05001993099751
Two-price,10.0,18,45.13168203873485
Two-price,10.0,19,71.88732800923697
Two-price,10.0,20,67.70181853170402
Two-price,10.0,21,57.02670753666616
Two-price,10.0,22,69.29973471155036
Two-price,10.0,23,236.57234952096877
Two-price,10.0,24,78.07452818517959
